REDCODE;ESCOLARIDAD_0;ESCOLARIDAD_1;ESCOLARIDAD_2;ESCOLARIDAD_3;ESCOLARIDAD_4;ESCOLARIDAD_5;ESCOLARIDAD_6;ESCOLARIDAD_7;ESCOLARIDAD_8;ESCOLARIDAD_9;ESCOLARIDAD_10;ESCOLARIDAD_11;ESCOLARIDAD_12;ESCOLARIDAD_13;ESCOLARIDAD_14;ESCOLARIDAD_15;ESCOLARIDAD_16;ESCOLARIDAD_17;ESCOLARIDAD_18;ESCOLARIDAD_19;ESCOLARIDAD_20;ESCOLARIDAD_21;Total
13101011001;12;0;2;2;6;3;19;3;25;12;36;15;228;22;67;133;169;640;49;178;30;88;1739
13101011002;17;3;3;1;11;5;22;6;20;12;31;15;238;44;106;161;191;675;33;146;16;51;1807
13101011003;6;1;7;5;4;1;17;7;21;11;27;15;186;30;96;133;181;652;40;190;19;56;1705
13101011004;8;2;2;0;4;4;24;4;12;8;37;28;214;26;92;136;155;508;17;122;13;25;1441
13101011005;2;0;3;1;5;3;11;5;17;8;34;19;225;31;70;120;162;499;27;109;19;30;1400
13101021001;19;1;5;9;13;15;54;9;45;29;58;59;607;51;151;245;205;743;8;103;13;12;2454
13101021002;21;2;0;2;4;6;22;5;19;11;35;29;353;32;130;203;202;852;14;123;13;17;2095
13101021003;48;0;0;3;15;13;11;6;22;11;43;37;360;45;152;211;197;714;13;78;9;17;2005
13101021004;25;3;11;15;10;15;27;11;50;17;48;55;704;42;154;187;208;564;8;74;7;16;2251
13101021005;19;5;6;10;15;22;40;11;39;35;73;55;521;49;112;154;155;329;2;43;3;8;1706
13101021006;19;6;9;6;16;19;27;6;38;15;51;46;436;40;86;175;140;504;10;82;2;12;1745
13101021007;38;3;4;7;18;11;41;5;37;16;44;62;464;28;84;148;139;385;16;77;3;21;1651
13101021008;6;0;1;1;2;4;8;7;13;4;22;22;244;27;64;107;142;413;7;75;2;13;1184
13101031001;11;3;3;4;4;5;17;6;32;16;35;33;413;40;119;165;129;454;8;30;8;4;1539
13101031002;15;5;6;8;14;29;55;10;54;46;89;89;921;82;297;447;411;1359;30;146;19;17;4149
13101031003;15;1;6;6;15;15;28;10;35;18;64;45;672;54;216;371;402;1336;27;160;18;20;3534
13101031004;6;0;5;4;4;5;26;11;29;14;66;33;532;58;202;285;302;989;36;137;20;32;2796
13101031005;11;2;1;1;7;5;19;9;19;11;31;10;314;23;98;109;125;411;4;59;7;15;1291
13101031006;9;3;0;2;8;3;4;1;11;7;29;9;207;30;80;109;142;452;11;56;14;13;1200
13101031007;18;1;1;2;25;5;16;6;36;16;54;32;362;44;165;205;231;775;20;115;18;26;2173
13101041001;8;4;9;18;30;11;41;16;47;19;68;65;432;37;118;189;156;497;12;95;10;12;1894
13101041002;11;4;3;4;11;13;20;8;53;19;63;35;435;38;123;183;187;523;11;98;11;13;1866
13101041003;30;5;3;3;16;5;18;7;28;15;82;34;396;44;160;189;184;563;14;81;8;20;1905
13101041004;13;3;6;10;35;9;31;16;42;22;67;64;501;48;138;171;143;561;14;74;12;11;1991
13101041005;22;3;5;7;18;20;46;10;41;34;80;44;471;45;161;165;155;471;9;67;15;22;1911
13101051001;38;3;6;16;18;10;34;30;55;30;71;60;505;47;161;224;178;497;7;86;9;20;2105
13101051002;55;26;34;44;62;42;90;38;143;67;143;121;1103;66;150;198;129;286;5;31;6;10;2849
13101051003;31;2;5;15;26;14;27;14;63;18;81;56;523;36;91;111;82;245;2;52;2;8;1504
13101061001;29;7;10;16;9;9;57;21;81;43;94;77;689;50;208;245;220;729;15;98;6;19;2732
13101061002;77;13;21;32;65;27;109;22;121;60;142;106;912;77;198;282;192;542;14;77;9;25;3123
13101061003;41;8;9;11;25;15;60;21;79;48;88;67;535;37;94;135;134;396;6;74;5;22;1910
13101071001;51;11;21;47;27;39;109;38;168;67;177;105;1169;61;205;251;171;331;3;27;4;3;3085
13101071002;36;5;12;22;11;22;65;23;124;56;128;135;905;58;137;157;68;207;5;17;1;5;2199
13101071003;45;2;8;13;11;22;42;22;82;34;79;65;721;46;142;165;161;426;8;51;7;14;2166
13101081001;32;3;9;12;27;24;68;45;102;41;109;77;795;54;169;210;155;362;4;39;11;10;2358
13101081002;43;14;20;42;60;50;104;36;119;85;185;159;1290;62;179;240;195;390;5;55;3;8;3344
13101081003;15;8;8;28;31;32;42;28;95;48;105;96;708;32;133;213;154;326;6;41;1;6;2156
13101081004;14;9;13;10;18;14;52;11;68;43;92;80;690;40;129;123;126;216;0;18;2;3;1771
13101091001;81;9;10;23;36;29;67;24;104;60;124;85;717;50;122;177;112;289;3;33;8;4;2167
13101091002;32;9;19;17;28;22;65;31;114;44;117;79;788;48;147;161;166;315;10;30;2;4;2248
13101091003;46;3;6;13;14;16;30;9;56;29;87;49;698;40;158;174;233;363;9;54;4;6;2097
